,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,District
3714,150706608,4,9990000.0,68.0,47,6.1,14.59,5,1,0.0,1.0,1.0,6,9,0.0,57.0
3715,141232617,3,10950000.0,73.0,44,10,14.84,8,0,0.0,1.0,1.0,11,22,0.0,57.0
3716,32713414,4,11500000.0,87.1,61.6,6.2,13.73,7,1,0.0,1.0,1.0,6,9,0.0,57.0
3717,149226799,3,12000000.0,72.0,43,10,14.77,10,1,0.0,0.0,1.0,7,17,0.0,57.0
3718,150237731,3,12500000.0,93.0,53,10,14.77,15,1,0.0,0.0,1.0,6,9,0.0,57.0
3719,148740789,1,5300000.0,34.4,19.5,9,14.49,10,1,0.0,0.0,0.0,1,9,0.0,57.0
3720,150141990,3,7700000.0,76.0,48,8,14.36,19,1,0.0,1.0,1.0,5,9,0.0,57.0
3721,150854122,свободнаяпланировка ,21500000.0,117.0,57,14,15.06,11,0,1.0,1.0,1.0,18,22,0.0,57.0
3722,150436311,3,13300000.0,70.0,36,15.5,14.91,10,0,0.0,0.0,1.0,16,22,0.0,57.0
3723,150741261,1,4100000.0,35.0,20,6,15.34,31,1,0.0,0.0,1.0,2,9,0.0,57.0
3724,150347142,1,4200000.0,34.0,20,6,15.23,31,1,0.0,0.0,1.0,1,9,0.0,57.0
3725,149046138,1,4299999.0,30.2,17.5,6,15.22,25,1,0.0,1.0,0.0,1,9,0.0,57.0
3726,149878464,1,4300000.0,33.5,19,7,15.19,25,1,0.0,0.0,0.0,3,9,0.0,57.0
3727,148299766,1,4400000.0,34.0,19,7,14.76,15,1,0.0,1.0,0.0,4,9,0.0,57.0
3728,148300086,1,4400000.0,34.0,19,7,14.76,15,1,0.0,1.0,0.0,4,9,0.0,57.0
3729,148411663,1,4400000.0,26.1,14,7,14.52,7,1,0.0,0.0,0.0,8,9,0.0,57.0
3730,149348590,1,4400000.0,33.0,19,7,14.8,22,1,0.0,1.0,0.0,8,9,0.0,57.0
3731,150019977,1,4450000.0,32.0,18.6,6,14.25,6,1,0.0,0.0,0.0,3,9,0.0,57.0
3732,149521887,1,4490000.0,35.0,20,7,14.32,15,1,0.0,0.0,0.0,2,9,0.0,57.0
3733,148447199,1,4500000.0,32.2,18.3,7,14.41,7,0,0.0,1.0,0.0,1,9,0.0,57.0
3734,145912923,1,4500000.0,32.8,18.9,6,14.62,18,0,0.0,1.0,0.0,3,9,0.0,57.0
3735,148476955,1,4500000.0,33.1,18,6.5,13.55,3,1,0.0,0.0,0.0,2,9,0.0,57.0
3736,143810683,1,4500000.0,33.0,19,6.4,15.33,,,0.0,1.0,0.0,4,9,0.0,57.0
3737,148859728,1,4550000.0,35.0,19,6,15.1,20,1,0.0,0.0,0.0,9,9,0.0,57.0
3738,150334987,1,4550000.0,33.0,19,7,15.46,20,1,0.0,0.0,0.0,8,9,0.0,57.0
3739,148400118,1,4550000.0,33.5,20,7.5,14.82,23,1,0.0,1.0,0.0,5,9,0.0,57.0
3740,150602972,1,4600000.0,32.7,18.7,6.7,14.71,15,1,0.0,1.0,0.0,8,9,0.0,57.0
3741,138250213,1,4600000.0,32.8,18,9,15.0,14,1,0.0,1.0,0.0,3,9,0.0,57.0
3742,148271371,1,4650000.0,34.0,19,7,14.25,4,0,0.0,1.0,0.0,5,9,0.0,57.0
3743,150251946,1,4700000.0,33.0,19,7,14.67,10,0,0.0,1.0,0.0,2,9,0.0,57.0
3744,139992658,1,4700000.0,33.0,20,7,14.67,20,1,0.0,1.0,0.0,2,9,0.0,57.0
3745,150228463,1,4750000.0,33.0,19,7,15.2,15,1,0.0,0.0,0.0,9,9,0.0,57.0
3746,150572992,1,4750000.0,30.3,18,6.5,14.29,10,1,0.0,0.0,0.0,1,9,0.0,57.0
3747,149874583,2,7200000.0,60.0,34,10,18.54,,,0.0,1.0,1.0,5,17,0.0,58.0
3748,150769120,1,3800000.0,33.0,19,6,18.24,,,1.0,0.0,1.0,4,5,0.0,58.0
3749,146178285,1,3800000.0,35.0,19,7,18.22,15,0,1.0,0.0,1.0,4,5,0.0,58.0
3750,138980637,1,4150000.0,34.0,19,9,18.14,10,0,0.0,1.0,0.0,4,9,0.0,58.0
3751,150651077,2,4300000.0,43.0,27,6,18.24,15,0,1.0,1.0,0.0,1,5,0.0,58.0
3752,140187281,1,4450000.0,30.0,20,6,18.38,,,0.0,0.0,1.0,6,9,0.0,58.0
3753,150569300,2,4600000.0,44.0,28,6,18.14,10,0,0.0,0.0,0.0,7,9,0.0,58.0
3754,146663248,1,5000000.0,33.0,20,7,18.03,7,0,1.0,1.0,1.0,3,5,0.0,58.0
3755,150616590,1,5150000.0,38.4,18,9,18.44,10,0,0.0,0.0,1.0,14,17,0.0,58.0
3756,149966624,2,5200000.0,44.0,30,6,18.14,,,0.0,1.0,0.0,5,9,0.0,58.0
3757,35901624,1,5650000.0,40.0,21,9,18.44,10,0,0.0,1.0,1.0,15,17,0.0,58.0
3758,150326089,2,6300000.0,58.0,33,9,18.44,10,0,0.0,0.0,1.0,15,17,0.0,58.0
3759,37407946,2,6400000.0,50.0,30,6,18.36,,,0.0,1.0,1.0,4,9,0.0,58.0
3760,150798040,2,6500000.0,44.0,30,7,18.14,,,0.0,0.0,0.0,5,9,0.0,58.0
3761,22589034,2,6750000.0,56.2,32,10,17.76,10,0,0.0,1.0,0.0,1,3,0.0,58.0
3762,150709037,2,6800000.0,54.0,29,9,18.44,10,0,0.0,0.0,1.0,17,17,0.0,58.0
3763,150692402,2,6900000.0,61.0,36.5,12.7,21.58,20,0,0.0,1.0,1.0,2,2,0.0,58.0
3764,149439209,2,7000000.0,58.0,34,10,18.45,10,0,0.0,0.0,1.0,3,17,0.0,58.0
3765,150380456,2,7000000.0,51.0,32,8,18.45,10,0,0.0,1.0,1.0,11,17,0.0,58.0
3766,146329586,2,7300000.0,54.0,29,8.5,18.44,10,0,0.0,1.0,0.0,4,17,0.0,58.0
3767,149524637,3,9380000.0,74.2,45,10,18.45,8,0,0.0,1.0,1.0,10,17,0.0,58.0
3768,150747137,3,9500000.0,71.0,45,10,18.44,7,0,0.0,1.0,1.0,13,17,0.0,58.0
3769,148074279,3,9800000.0,85.0,55,11,17.61,10,0,1.0,0.0,1.0,1,3,0.0,58.0
3770,149800485,3,10500000.0,85.8,58,8.5,17.99,,,0.0,1.0,1.0,2,3,0.0,58.0
3771,149560793,1,3200000.0,31.0,17,6,21.63,,,1.0,0.0,1.0,5,5,0.0,58.0
3772,150353977,1,5400000.0,40.0,18,10,18.44,,,0.0,0.0,1.0,15,17,0.0,58.0
3773,150921606,2,5600000.0,43.5,29,6.2,18.29,15,0,0.0,1.0,1.0,3,4,0.0,58.0
3774,150858682,3,9500000.0,71.0,45,10,18.44,,,0.0,0.0,1.0,13,17,0.0,58.0
3775,149841490,3,10800000.0,76.0,46,10,18.45,,,0.0,1.0,1.0,13,17,0.0,58.0
3776,149841563,3,12000000.0,90.0,58,12,17.73,,,0.0,1.0,1.0,2,3,0.0,58.0
3777,149874583,2,7200000.0,60.0,34,10,18.54,,,0.0,1.0,1.0,5,17,0.0,58.0
3778,150769120,1,3800000.0,33.0,19,6,18.24,,,1.0,0.0,1.0,4,5,0.0,58.0
3779,146178285,1,3800000.0,35.0,19,7,18.22,15,0,1.0,0.0,1.0,4,5,0.0,58.0
3780,138980637,1,4150000.0,34.0,19,9,18.14,10,0,0.0,1.0,0.0,4,9,0.0,58.0
3781,150651077,2,4300000.0,43.0,27,6,18.24,15,0,1.0,1.0,0.0,1,5,0.0,58.0
3782,140187281,1,4450000.0,30.0,20,6,18.38,,,0.0,0.0,1.0,6,9,0.0,58.0
3783,150569300,2,4600000.0,44.0,28,6,18.14,10,0,0.0,0.0,0.0,7,9,0.0,58.0
3784,146663248,1,5000000.0,33.0,20,7,18.03,7,0,1.0,1.0,1.0,3,5,0.0,58.0
3785,150616590,1,5150000.0,38.4,18,9,18.44,10,0,0.0,0.0,1.0,14,17,0.0,58.0
3786,149966624,2,5200000.0,44.0,30,6,18.14,,,0.0,1.0,0.0,5,9,0.0,58.0
3787,35901624,1,5650000.0,40.0,21,9,18.44,10,0,0.0,1.0,1.0,15,17,0.0,58.0
3788,150326089,2,6300000.0,58.0,33,9,18.44,10,0,0.0,0.0,1.0,15,17,0.0,58.0
3789,37407946,2,6400000.0,50.0,30,6,18.36,,,0.0,1.0,1.0,4,9,0.0,58.0
3790,150798040,2,6500000.0,44.0,30,7,18.14,,,0.0,0.0,0.0,5,9,0.0,58.0
3791,22589034,2,6750000.0,56.2,32,10,17.76,10,0,0.0,1.0,0.0,1,3,0.0,58.0
3792,150709037,2,6800000.0,54.0,29,9,18.44,10,0,0.0,0.0,1.0,17,17,0.0,58.0
3793,150692402,2,6900000.0,61.0,36.5,12.7,21.58,20,0,0.0,1.0,1.0,2,2,0.0,58.0
3794,149439209,2,7000000.0,58.0,34,10,18.45,10,0,0.0,0.0,1.0,3,17,0.0,58.0
3795,150380456,2,7000000.0,51.0,32,8,18.45,10,0,0.0,1.0,1.0,11,17,0.0,58.0
3796,146329586,2,7300000.0,54.0,29,8.5,18.44,10,0,0.0,1.0,0.0,4,17,0.0,58.0
3797,149524637,3,9380000.0,74.2,45,10,18.45,8,0,0.0,1.0,1.0,10,17,0.0,58.0
3798,150747137,3,9500000.0,71.0,45,10,18.44,7,0,0.0,1.0,1.0,13,17,0.0,58.0
3799,148074279,3,9800000.0,85.0,55,11,17.61,10,0,1.0,0.0,1.0,1,3,0.0,58.0
3800,149800485,3,10500000.0,85.8,58,8.5,17.99,,,0.0,1.0,1.0,2,3,0.0,58.0
3801,149560793,1,3200000.0,31.0,17,6,21.63,,,1.0,0.0,1.0,5,5,0.0,58.0
